aether_legacy:ambrosium_shard,0,0.6,0,Ambrosium Shard,gemAmbrosium,Aether Legacy,8589,FALSE
aether_legacy:blue_berry,2,0.6,0,Blue Berry,cropBlueberry,Aether Legacy,8632,FALSE
aether_legacy:burnt_cockatrice,4,0.1,0,Burnt Kelenk Meat,,Aether Legacy,8723,FALSE
aether_legacy:candy_cane,2,0.6,0,Candy Cane,,Aether Legacy,8637,FALSE
aether_legacy:cockatrice,2,0.1,0,Kelenk Meat,listAllchickenraw,Aether Legacy,8722,FALSE
aether_legacy:cooked_enchanted_cockatrice,10,0.8,0,Cooked Enchanted Kelenk Meat,listAllchickencooked,Aether Legacy,8725,FALSE
aether_legacy:enchanted_blueberry,8,0.6,0,Enchanted Berry,cropBlueberryEnchanted,Aether Legacy,8633,FALSE
aether_legacy:enchanted_cockatrice,6,0.6,0,Enchanted Kelenk Meat,listAllchickenraw,Aether Legacy,8724,FALSE
aether_legacy:ginger_bread_man,2,0.6,0,Ginger Bread Man,,Aether Legacy,8638,FALSE
aether_legacy:gummy_swet,20,0.6,0,Blue Gummy Swet,,Aether Legacy,8635,TRUE
aether_legacy:gummy_swet,20,0.6,1,Golden Gummy Swet,,Aether Legacy,8635,TRUE
aether_legacy:healing_stone,0,0.6,0,Healing Stone,,Aether Legacy,8636,FALSE
aether_legacy:white_apple,0,0.6,0,White Apple,,Aether Legacy,8634,FALSE
animania:bacon_omelette,5,0.7,0,Bacon Omelette,,Animania,4454,FALSE
animania:cheese_omelette,5,0.7,0,Cheese Omelette,,Animania,4455,FALSE
animania:chocolate_truffle,6,0.7,0,Chocolate Truffle,,Animania,4459,FALSE
animania:cooked_chevon,4,1,0,Roast Chevon,"foodMeats,listAllmeatcooked",Animania,4483,FALSE
animania:cooked_frog_legs,5,1,0,Cooked Prime Frog Legs,"foodMeats,listAllfrogcooked,listAllmeatcooked",Animania,4479,FALSE
animania:cooked_horse,5,1,0,Cooked Horse,"foodMeats,listAllmeatcooked",Animania,4481,FALSE
animania:cooked_peacock,4,1,0,Roast Peacock,listAllchickencooked,Animania,4487,FALSE
animania:cooked_prime_bacon,4,1,0,Roast Prime Bacon,"foodBaconCooked,foodMeats,listAllporkcooked",Animania,4468,FALSE
animania:cooked_prime_beef,5,1,0,Roast Prime Beef,"foodMeats,listAllbeefcooked,listAllmeatcooked",Animania,4462,FALSE
animania:cooked_prime_chevon,5,1,0,Roast Prime Chevon,"foodMeats,listAllmeatcooked",Animania,4485,FALSE
animania:cooked_prime_chicken,5,1,0,Roast Prime Chicken,"foodMeats,listAllchickencooked,listAllmeatcooked",Animania,4470,FALSE
animania:cooked_prime_mutton,5,1,0,Roast Prime Mutton,"foodMeats,listAllmeatcooked,listAllmuttoncooked",Animania,4475,FALSE
animania:cooked_prime_peacock,5,1,0,Roast Prime Peacock,listAllchickencooked,Animania,4489,FALSE
animania:cooked_prime_pork,5,1,0,Roast Prime Pork,"foodMeats,listAllmeatcooked,listAllporkcooked",Animania,4466,FALSE
