animania:bacon_omelette,3.0,1,5,1.5,Bacon Omelette,['ore:'],Animania,4473
animania:cheese_omelette,2.0,1,2,0.5,Cheese Omelette,['ore:'],Animania,4474
animania:chocolate_truffle,3.0,1,5,1.5,Chocolate Truffle,['ore:'],Animania,4478
animania:cooked_chevon,2.0,1,2,0.5,Roast Chevon,"['ore:foodMeats', 'ore:listAllmeatcooked']",Animania,4502
animania:cooked_frog_legs,2.0,1,2,0.5,Cooked Prime Frog Legs,"['ore:foodMeats', 'ore:listAllfrogcooked', 'ore:listAllmeatcooked']",Animania,4498
animania:cooked_horse,2.0,1,2,0.5,Cooked Horse,"['ore:foodMeats', 'ore:listAllmeatcooked']",Animania,4500
animania:cooked_peacock,2.0,1,2,0.5,Roast Peacock,"['ore:listAllchickencooked', 'ore:listAllmeatcooked']",Animania,4506
animania:cooked_prime_bacon,2.0,1,2,0.5,Roast Prime Bacon,"['ore:foodBaconCooked', 'ore:foodMeats', 'ore:listAllporkcooked']",Animania,4487
animania:cooked_prime_beef,2.0,1,2,0.5,Roast Prime Beef,"['ore:foodMeats', 'ore:listAllbeefcooked', 'ore:listAllmeatcooked']",Animania,4481
animania:cooked_prime_chevon,2.0,1,2,0.5,Roast Prime Chevon,"['ore:foodMeats', 'ore:listAllmeatcooked']",Animania,4504
animania:cooked_prime_chicken,2.0,1,2,0.5,Roast Prime Chicken,"['ore:foodMeats', 'ore:listAllchickencooked', 'ore:listAllmeatcooked']",Animania,4489
animania:cooked_prime_mutton,2.0,1,2,0.5,Roast Prime Mutton,"['ore:foodMeats', 'ore:listAllmeatcooked', 'ore:listAllmuttoncooked']",Animania,4494
animania:cooked_prime_peacock,2.0,1,2,0.5,Roast Prime Peacock,"['ore:listAllchickencooked', 'ore:listAllmeatcooked']",Animania,4508
animania:cooked_prime_pork,2.0,1,2,0.5,Roast Prime Pork,"['ore:foodMeats', 'ore:listAllmeatcooked', 'ore:listAllporkcooked']",Animania,4485
